School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,2.89,3.65,6.53,2,1,1
SLUH,3.07,2.96,6.04,1,5,2
Lee's Summit,2.76,3.23,5.99,3,3,3
Mehlville,2.43,2.79,5.22,5,10,4
Chaminade College Prep,1.79,3.38,5.17,21,2,5
Christian Brothers College,1.99,3.12,5.11,12,4,6
Ft. Zumwalt South,2.29,2.66,4.95,6,14,7
Marquette,1.96,2.86,4.82,13,6,8
Notre Dame (Cape Girardeau),2.17,2.58,4.75,7,15,9
Pembroke Hill,2.04,2.66,4.7,10,13,10
John Burroughs,1.83,2.81,4.65,19,8,11
Lee's Summit West,1.8,2.83,4.63,20,7,12
St. Dominic,2.04,2.38,4.42,9,19,13
Ladue Horton Watkins,1.78,2.52,4.3,22,17,14
De Smet Jesuit,1.9,2.37,4.27,15,20,15
Whitfield,2.12,2.1,4.22,8,34,16
Blue Springs South,1.42,2.69,4.11,35,11,17
Glendale,1.95,2.14,4.09,14,32,18
Liberty (Wentzville),1.27,2.8,4.07,43,9,19
Liberty,1.85,2.22,4.07,18,28,20
Westminster Christian Academy,2.03,2.03,4.06,11,36,21
Rockwood Summit,1.85,2.17,4.03,17,30,22
Kickapoo,1.7,2.24,3.94,23,27,23
Park Hill South,1.57,2.3,3.87,29,24,24
Blue Springs,1.3,2.56,3.86,40,16,25
Jackson,1.5,2.3,3.81,31,23,26
Vianney,1.58,2.19,3.76,26,29,27
Hickman,1.85,1.84,3.69,16,45,28
Francis Howell,1.62,1.97,3.59,25,38,29
Park Hill,0.85,2.66,3.52,63,12,30
Perryville,2.46,1.04,3.5,4,71,31
Kirkwood,1.08,2.35,3.43,50,21,32
Lee's Summit North,1.57,1.83,3.4,27,46,33
Oakville,0.99,2.39,3.38,58,18,34
Guadalupe Centers Charter,1.67,1.68,3.35,24,52,35
Springfield Catholic,1.18,2.16,3.33,45,31,36
MICDS,1.01,2.32,3.32,56,22,37
Nixa,1.57,1.74,3.31,28,49,38
Raymore-Peculiar,1.29,2.01,3.3,41,37,39
Platte County,1.02,2.25,3.27,54,26,40
Van Horn,1.55,1.72,3.27,30,51,41
Lafayette (Wildwood),1.37,1.88,3.25,37,42,42
Lindbergh,0.91,2.3,3.21,59,25,43
Northwest (Cedar Hill),1.35,1.82,3.17,38,47,44
Ft. Zumwalt East,1.49,1.53,3.03,33,55,45
Ft. Zumwalt West,1.29,1.73,3.01,42,50,46
William Chrisman,0.81,2.04,2.86,64,35,47
Branson,1.37,1.48,2.85,36,57,48
Liberty North,0.72,2.12,2.84,71,33,49
Timberland,1.0,1.79,2.78,57,48,50
Eureka,0.76,1.95,2.71,68,40,51
Clayton,0.78,1.9,2.68,66,41,52
Rock Bridge,0.77,1.86,2.64,67,43,53
Staley,1.01,1.53,2.54,55,56,54
Carthage,1.05,1.46,2.52,52,58,55
Central (Cape Girardeau),1.11,1.37,2.48,48,62,56
Neosho,1.21,1.26,2.47,44,65,57
Francis Howell North,1.03,1.41,2.45,53,60,58
Webster Groves,0.43,1.96,2.39,83,39,59
Parkway Central,0.76,1.61,2.37,69,54,60
Ozark,1.16,1.2,2.36,46,67,61
Grain Valley,1.35,0.87,2.22,39,76,62
Smithville,0.56,1.63,2.2,78,53,63
Holt,1.45,0.64,2.08,34,84,64
Francis Howell Central,0.69,1.36,2.04,74,63,65
Smithton,0.59,1.42,2.01,77,59,66
Parkway West,0.13,1.84,1.97,96,44,67
Parkway South,1.1,0.87,1.97,49,75,68
East (Kansas City),0.91,1.05,1.96,60,70,69
Priory,0.89,1.06,1.95,62,69,70
Orchard Farm,0.54,1.4,1.94,80,61,71
Belton,0.64,1.13,1.77,75,68,72
St. Pius X (Festus),0.71,1.03,1.74,72,72,73
Lutheran St. Charles,0.37,1.28,1.65,85,64,74
St. Michael the Archangel,1.12,0.37,1.48,47,96,75
Republic,0.22,1.23,1.45,90,66,76
Bishop LeBlond,1.06,0.3,1.36,51,98,77
Principia,1.5,-0.18,1.32,32,115,78
Lincoln College Prep,0.45,0.84,1.3,82,77,79
Affton,0.73,0.46,1.19,70,91,80
Capital City,0.56,0.54,1.1,79,89,81
Pattonville,0.19,0.89,1.08,94,73,82
Seckman,0.31,0.74,1.05,86,79,83
Ritenour,0.61,0.44,1.05,76,92,84
Joplin,0.9,0.14,1.04,61,102,85
Ft. Zumwalt North,0.08,0.72,0.8,97,81,86
North Kansas City,0.69,-0.01,0.68,73,110,87
Maryville,0.8,-0.19,0.61,65,117,88
Bolivar,0.5,0.08,0.59,81,104,89
Excelsior Springs,0.41,0.16,0.58,84,101,90
Troy Buchanan,-0.03,0.59,0.57,98,86,91
Hannibal,-0.03,0.57,0.54,99,87,92
Central (St. Joseph),-0.04,0.57,0.53,100,88,93
St. Charles,0.23,0.27,0.5,89,99,94
St. Paul Lutheran (Concordia),0.24,0.13,0.37,88,103,95
Fort Osage,0.25,0.05,0.31,87,105,96
Osage,-0.11,0.4,0.29,103,94,97
Kearney,0.21,0.04,0.25,92,108,98
Harrisonville,-0.7,0.87,0.17,133,74,99
Summit Christian Academy,-0.43,0.6,0.17,116,85,100
Father Tolton,-0.58,0.74,0.16,122,80,101
Farmington,0.18,-0.1,0.08,95,112,102
Logan-Rogersville,-0.04,0.05,0.01,101,106,103
Odessa,-0.28,0.2,-0.09,109,100,104
Chillicothe,-0.46,0.33,-0.13,118,97,105
Washington,-0.6,0.42,-0.18,124,93,106
Central (Springfield),-1.03,0.82,-0.21,148,78,107
Jefferson City,-0.9,0.67,-0.24,141,82,108
North Point,-0.78,0.48,-0.3,136,90,109
Parkway North,-0.1,-0.22,-0.32,102,119,110
Marshall,-0.72,0.37,-0.35,135,95,111
Duchesne,-1.0,0.64,-0.36,146,83,112
Fulton,-0.18,-0.33,-0.51,105,123,113
Fox,-0.36,-0.21,-0.57,112,118,114
St. Francis Borgia,-0.13,-0.45,-0.58,104,127,115
Rolla,-0.63,-0.0,-0.63,128,109,116
Southern Boone,-0.55,-0.09,-0.63,121,111,117
Waynesville,0.22,-0.88,-0.67,91,145,118
Helias Catholic,-0.38,-0.3,-0.68,114,120,119
Grandview,-0.64,-0.16,-0.81,130,114,120
Poplar Bluff,-0.51,-0.31,-0.82,119,121,121
Hillsboro,-0.99,0.04,-0.95,145,107,122
Parkview,-0.25,-0.7,-0.95,108,135,123
Union,-0.62,-0.35,-0.96,126,124,124
Sacred Heart,-0.2,-0.8,-1.0,106,140,125
Sikeston,-0.63,-0.44,-1.07,127,126,126
Bishop DuBourg,-0.88,-0.19,-1.07,140,116,127
Hazelwood West,-0.58,-0.5,-1.08,123,129,128
St. Pius X (Kansas City),-0.52,-0.57,-1.09,120,132,129
Lutheran South,-0.79,-0.31,-1.11,137,122,130
Brentwood,-0.29,-0.84,-1.14,110,143,131
Oak Park,-1.03,-0.13,-1.17,149,113,132
Barstow,-0.44,-0.78,-1.22,117,138,133
DeSoto,-0.64,-0.59,-1.22,129,133,134
Clinton,-0.72,-0.53,-1.24,134,130,135
Savannah,-0.38,-0.9,-1.28,113,146,136
Raytown South,-0.84,-0.54,-1.38,139,131,137
West Plains,-0.67,-0.79,-1.46,132,139,138
Oak Grove,-0.62,-0.87,-1.48,125,144,139
Veritas Christian Academy,-0.96,-0.66,-1.62,142,134,140
Moberly,0.21,-2.07,-1.86,93,166,141
Gateway Science Charter,-0.32,-1.73,-2.05,111,156,142
Webb City,-1.26,-0.82,-2.07,154,141,143
Pacific,-1.28,-0.83,-2.11,155,142,144
Bayless,-1.75,-0.37,-2.12,165,125,145
Camdenton,-1.17,-1.01,-2.18,151,148,146
Monett,-1.45,-0.77,-2.22,160,137,147
St. Charles West,-1.04,-1.26,-2.29,150,152,148
Center,-1.31,-0.99,-2.3,156,147,149
Fair Grove,-0.65,-1.75,-2.41,131,157,150
Fatima,-1.2,-1.23,-2.42,153,151,151
New Covenant Academy,-1.39,-1.08,-2.47,157,149,152
Marshfield,-2.09,-0.5,-2.59,177,128,153
Raytown,-0.8,-1.82,-2.63,138,161,154
Windsor (Imperial),-1.92,-0.76,-2.68,172,136,155
Pleasant Hill,-0.97,-1.8,-2.77,144,160,156
Knob Noster,-1.72,-1.21,-2.93,164,150,157
Warrensburg,-0.97,-1.99,-2.96,143,165,158
Winfield,-1.71,-1.33,-3.04,163,153,159
Missouri Military Academy,-0.23,-2.95,-3.19,107,187,160
Lutheran (Kansas City),-1.17,-2.08,-3.25,152,167,161
Wright City,-1.96,-1.44,-3.41,174,154,162
Willard,-1.01,-2.47,-3.48,147,172,163
