School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,2.89,3.65,6.53,2,1,1
SLUH,3.07,2.96,6.04,1,5,2
Lee's Summit,2.76,3.23,5.99,3,3,3
Chaminade College Prep,1.79,3.38,5.17,12,2,4
Christian Brothers College,1.99,3.12,5.11,5,4,5
Marquette,1.96,2.86,4.82,6,6,6
John Burroughs,1.83,2.81,4.65,10,8,7
Lee's Summit West,1.8,2.83,4.63,11,7,8
St. Dominic,2.04,2.38,4.42,4,14,9
De Smet Jesuit,1.9,2.37,4.27,7,15,10
Blue Springs South,1.42,2.69,4.11,21,10,11
Liberty (Wentzville),1.27,2.8,4.07,27,9,12
Liberty,1.85,2.22,4.07,9,21,13
Kickapoo,1.7,2.24,3.94,13,20,14
Park Hill South,1.57,2.3,3.87,18,18,15
Blue Springs,1.3,2.56,3.86,24,12,16
Jackson,1.5,2.3,3.81,19,17,17
Vianney,1.58,2.19,3.76,15,22,18
Hickman,1.85,1.84,3.69,8,29,19
Francis Howell,1.62,1.97,3.59,14,25,20
Park Hill,0.85,2.66,3.52,39,11,21
Kirkwood,1.08,2.35,3.43,30,16,22
Lee's Summit North,1.57,1.83,3.4,16,30,23
Oakville,0.99,2.39,3.38,35,13,24
Nixa,1.57,1.74,3.31,17,33,25
Raymore-Peculiar,1.29,2.01,3.3,25,24,26
Lafayette (Wildwood),1.37,1.88,3.25,22,27,27
Lindbergh,0.91,2.3,3.21,36,19,28
Northwest (Cedar Hill),1.35,1.82,3.17,23,31,29
Ft. Zumwalt West,1.29,1.73,3.01,26,34,30
Liberty North,0.72,2.12,2.84,42,23,31
Timberland,1.0,1.79,2.78,34,32,32
Eureka,0.76,1.95,2.71,41,26,33
Rock Bridge,0.77,1.86,2.64,40,28,34
Staley,1.01,1.53,2.54,33,35,35
Carthage,1.05,1.46,2.52,31,36,36
Francis Howell North,1.03,1.41,2.45,32,37,37
Ozark,1.16,1.2,2.36,28,40,38
Holt,1.45,0.64,2.08,20,48,39
Francis Howell Central,0.69,1.36,2.04,44,38,40
Parkway South,1.1,0.87,1.97,29,44,41
Priory,0.89,1.06,1.95,38,42,42
Belton,0.64,1.13,1.77,45,41,43
Republic,0.22,1.23,1.45,49,39,44
Pattonville,0.19,0.89,1.08,51,43,45
Seckman,0.31,0.74,1.05,47,46,46
Ritenour,0.61,0.44,1.05,46,51,47
Joplin,0.9,0.14,1.04,37,52,48
Ft. Zumwalt North,0.08,0.72,0.8,52,47,49
North Kansas City,0.69,-0.01,0.68,43,54,50
Troy Buchanan,-0.03,0.59,0.57,53,49,51
Central (St. Joseph),-0.04,0.57,0.53,54,50,52
Fort Osage,0.25,0.05,0.31,48,53,53
Central (Springfield),-1.03,0.82,-0.21,60,45,54
Fox,-0.36,-0.21,-0.57,55,56,55
Waynesville,0.22,-0.88,-0.67,50,60,56
Helias Catholic,-0.38,-0.3,-0.68,56,57,57
Poplar Bluff,-0.51,-0.31,-0.82,57,58,58
Hazelwood West,-0.58,-0.5,-1.08,58,59,59
Oak Park,-1.03,-0.13,-1.17,61,55,60
Raytown,-0.8,-1.82,-2.63,59,61,61
Hazelwood Central,-3.88,-4.62,-8.5,62,62,62
