Date,Home Team,Home Score,Away Team,Away Score
2021-08-27,New Covenant Academy,0,Bolivar,5
2021-08-27,West Plains,1,Carl Junction,0
2021-08-27,Priory,0,Clayton,1
2021-08-27,Lebanon,3,Fair Grove,1
2021-08-27,Parkway West,0,Fox,1
2021-08-27,Canton,0,Francis Howell,10
2021-08-27,Nixa,3,Hickman,2
2021-08-27,Rockwood Summit,7,Holt,1
2021-08-27,Rock Bridge,3,Kickapoo,1
2021-08-27,De Smet Jesuit,2,Lafayette (Wildwood),3
2021-08-27,Parkway Central,0,Liberty (Wentzville),5
2021-08-27,Greenwood,0,Logan-Rogersville,5
2021-08-27,Westminster Christian Academy,7,Lutheran South,0
2021-08-27,Parkway South,1,Marquette,2
2021-08-27,Webb City,0,Marshfield,2
2021-08-27,Timberland,1,Mehlville,6
2021-08-27,Principia,2,MICDS,1
2021-08-27,Union,1,Northwest (Cedar Hill),2
2021-08-27,Savannah,1,Osage,3
2021-08-27,Waynesville,3,Republic,5
2021-08-27,Park Hill South,0,Rockhurst,4
2021-08-27,Central (Springfield),0,Springfield Catholic,3
2021-08-27,Ozark,2,Webster Groves,1
2021-08-27,Sacred Heart,8,Willard,6
2021-08-28,Raytown South,0,Blue Springs,7
2021-08-28,North Kansas City,0,Blue Springs South,8
2021-08-28,Southern Boone,0,Capital City,5
2021-08-28,Webb City,2,Carl Junction,0
2021-08-28,Fair Grove,0,Carl Junction,5
2021-08-28,Ozark,1,Chaminade College Prep,1
2021-08-28,Greenwood,7,Fair Grove,0
2021-08-28,Veritas Christian Academy,1,Father Tolton,6
2021-08-28,Farmington,4,Fox,3
2021-08-28,Parkway North,0,Francis Howell Central,3
2021-08-28,Lutheran St. Charles,1,Ft. Zumwalt North,2
2021-08-28,Ritenour,1,Ft. Zumwalt West,3
2021-08-28,Liberty North,3,Grain Valley,0
2021-08-28,East (Kansas City),1,Harrisonville,1
2021-08-28,Camdenton,0,Jefferson City,1
2021-08-28,Notre Dame (Cape Girardeau),3,John Burroughs,2
2021-08-28,West Plains,2,Joplin,5
2021-08-28,Hickman,4,Kickapoo,1
2021-08-28,Canton,0,Ladue Horton Watkins,10
2021-08-28,Staley,0,Lee's Summit North,4
2021-08-28,Guadalupe Centers Charter,0,Liberty,2
2021-08-28,West Plains,1,Logan-Rogersville,2
2021-08-28,St. Pius X (Festus),8,Maplewood-Richmond Hts.,0
2021-08-28,Logan-Rogersville,3,Marshfield,1
2021-08-28,Lebanon,1,Marshfield,2
2021-08-28,Rock Bridge,1,Nixa,2
2021-08-28,Sacred Heart,5,Osage,4
2021-08-28,Willard,2,Savannah,3
2021-08-28,Troy Buchanan,3,St. Charles,2
2021-08-28,Missouri Military Academy,0,St. Paul Lutheran (Concordia),5
2021-08-28,Greenwood,1,Webb City,2
2021-08-28,St. Michael the Archangel,5,St. Charles,2
2021-08-28,Bishop DuBourg,7,Valley Park,1
2021-08-28,St. Pius X (Kansas City),0,Van Horn,8
2021-08-28,St. Dominic,1,Vianney,0
2021-08-28,Lebanon,0,West Plains,2
2021-08-28,Central (Springfield),3,West Plains,1
2021-08-30,Fox,3,Bayless,0
2021-08-30,Lafayette (St. Joseph),0,Benton,1
2021-08-30,Bishop LeBlond,3,Central (St. Joseph),2
2021-08-30,Lutheran North,0,John Burroughs,8
2021-08-30,Rockwood Summit,3,Lafayette (Wildwood),0
2021-08-30,Guadalupe Centers Charter,2,Lee's Summit North,1
2021-08-30,Staley,1,Liberty,2
2021-08-30,Pleasant Hill,5,Lone Jack,1
2021-08-30,Cameron,0,Maryville,8
2021-08-30,Parkview,4,Monett,0
2021-08-30,St. Charles,4,North Kansas City,3
2021-08-30,St. Pius X (Kansas City),3,Raytown South,2
2021-08-30,Fatima,5,Willard,0
2021-08-30,Summit Christian Academy,5,Warrensburg,1
2021-08-30,Parkway South,0,Webster Groves,2
2021-08-30,Raytown,0,William Chrisman,3
2021-08-30,Canton,2,Winfield,0
2021-08-31,Gateway Science Charter,2,Affton,5
2021-08-31,Cassville,5,Aurora,2
2021-08-31,Smithville,1,Belton,3
2021-08-31,Bishop LeBlond,3,Benton,0
2021-08-31,Van Horn,1,Blue Springs,2
